"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7985","ui controls","","Sun Feb 23 18:01:39 PKT 2025","passed","Sun Feb 23 18:01:47 PKT 2025","","UIBasictest.spec.js","",""
"","2849","Validation of Calender","","Sun Feb 23 18:00:41 PKT 2025","passed","Sun Feb 23 18:00:44 PKT 2025","","calender.spec.js","",""
"","5290","smoke: Client App login for custom fixture","","Sun Feb 23 16:53:58 PKT 2025","passed","Sun Feb 23 16:54:03 PKT 2025","","loginPOMwithFixture.spec.js","",""
"","6964","Test new window tab","","Sun Feb 23 18:01:47 PKT 2025","passed","Sun Feb 23 18:01:54 PKT 2025","","UIBasictest.spec.js","",""
"","2870","Dialogue Frames and Event Listen","","Sun Feb 23 18:00:44 PKT 2025","passed","Sun Feb 23 18:00:47 PKT 2025","","dialogueFrameEvent.spec.js","",""
"","1203","First playwright test","","Sun Feb 23 18:01:27 PKT 2025","passed","Sun Feb 23 18:01:28 PKT 2025","","UIBasictest.spec.js","",""
"","4277","Add products to cart","","Sun Feb 23 18:01:07 PKT 2025","passed","Sun Feb 23 18:01:11 PKT 2025","","loginPO.spec.js","",""
"","2565","@smoke : Client App login for custom fixture","","Mon Feb 24 22:26:39 PKT 2025","passed","Mon Feb 24 22:26:42 PKT 2025","","loginPOMwithFixture.spec.js","",""
"","4910","Client App login for first user","","Sun Feb 23 18:01:18 PKT 2025","passed","Sun Feb 23 18:01:23 PKT 2025","","loginPOMwithMultipleDataSet.spec.js","",""
"","4056","Client App login for second user","","Sun Feb 23 18:01:23 PKT 2025","passed","Sun Feb 23 18:01:27 PKT 2025","","loginPOMwithMultipleDataSet.spec.js","",""
"","8081","@Web Client App login","","Sun Feb 23 18:00:55 PKT 2025","passed","Sun Feb 23 18:01:03 PKT 2025","","endToEndEcommerecePurchase.spec.js","",""
"","2918","Login with valid username and password","","Sun Feb 23 18:01:04 PKT 2025","passed","Sun Feb 23 18:01:07 PKT 2025","","loginPO.spec.js","",""
"","3115","Screenshot and visual Testing","","Sun Feb 23 18:00:51 PKT 2025","failed","Sun Feb 23 18:00:54 PKT 2025","","dialogueFrameEvent.spec.js","",""
"","10895","First page test","","Sun Feb 23 18:01:28 PKT 2025","passed","Sun Feb 23 18:01:39 PKT 2025","","UIBasictest.spec.js","",""
"","1086","Playwright Special locators","","Sun Feb 23 18:01:03 PKT 2025","passed","Sun Feb 23 18:01:04 PKT 2025","","endToEndEcommerecePurchase.spec.js","",""
"","4030","Login with valid username and password","","Sun Feb 23 18:01:11 PKT 2025","passed","Sun Feb 23 18:01:15 PKT 2025","","loginPOManager.spec.js","",""
